trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,first_image.started,first_image.stopped,secondimage.started,secondimage.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.501013666995277,9.665443249999953,9.665443249999953,9.823675374995219,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
1,0,1,0,9.823675374995219,9.981940042001952,9.981940042001952,10.141353749997506,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
2,0,2,0,10.141353749997506,10.306399249995593,10.306399249995593,10.465489333000733,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
3,0,3,0,10.465489333000733,10.632503207998525,10.632503207998525,10.79395483299595,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
4,0,4,0,10.79395483299595,10.956831791998411,10.956831791998411,11.114554708001378,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
5,0,5,0,11.114554708001378,11.27318354199815,11.27318354199815,11.431937875000585,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
6,0,6,0,11.431937875000585,11.58910866700171,11.58910866700171,11.748663124999439,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
7,0,7,0,11.748663124999439,11.907084207996377,11.907084207996377,12.064706332996138,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
8,0,8,0,12.064706332996138,12.223276208002062,12.223276208002062,12.380994916995405,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
9,0,9,0,12.380994916995405,12.54010791699693,12.54010791699693,12.69825820800179,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
10,0,10,0,12.69825820800179,12.854712082997139,12.854712082997139,13.015459124995687,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
11,0,11,0,13.015459124995687,13.173454124997079,13.173454124997079,13.332047167001292,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
12,0,12,0,13.332047167001292,13.490824957996665,13.490824957996665,13.657221707995632,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
13,0,13,0,13.657221707995632,13.814529625000432,13.814529625000432,13.973708416997397,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
14,0,14,0,13.973708416997397,14.132001083002251,14.132001083002251,14.290589791999082,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
15,0,15,0,14.290589791999082,14.448551082998165,14.448551082998165,14.607590624997101,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
16,0,16,0,14.607590624997101,14.773667374996876,14.773667374996876,14.932083291998424,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
17,0,17,0,14.932083291998424,15.089202916999056,15.089202916999056,15.255560917001276,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
18,0,18,0,15.255560917001276,15.415335500001675,15.415335500001675,15.574157791998005,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
19,0,19,0,15.574157791998005,15.74068008299946,15.74068008299946,15.907885291999264,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
20,0,20,0,15.907885291999264,16.07185741700232,16.07185741700232,16.233341457998904,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
21,0,21,0,16.233341457998904,16.390241832996253,16.390241832996253,16.54871933299728,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
22,0,22,0,16.54871933299728,16.706829292001203,16.706829292001203,16.86455549999664,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
23,0,23,0,16.86455549999664,17.023296457999095,17.023296457999095,17.191279041995585,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
24,0,24,0,17.191279041995585,17.348636167000222,17.348636167000222,17.506913833,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
25,0,25,0,17.506913833,17.665268749995448,17.665268749995448,17.82391133299825,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
26,0,26,0,17.82391133299825,17.99012404200039,17.99012404200039,18.148799000002327,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
27,0,27,0,18.148799000002327,18.307958874996984,18.307958874996984,18.465411749995837,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
28,0,28,0,18.465411749995837,18.623252375000448,18.623252375000448,18.782024457999796,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
29,0,29,0,18.782024457999796,18.940060916997027,18.940060916997027,19.098717667002347,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
30,0,30,0,19.098717667002347,19.256545707998157,19.256545707998157,19.424858082995343,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
31,0,31,0,19.424858082995343,19.5884854169999,19.5884854169999,19.748160666997137,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
32,0,32,0,19.748160666997137,19.906516832998022,19.906516832998022,20.064585082996928,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
33,0,33,0,20.064585082996928,20.22351108300063,20.22351108300063,20.38132370799576,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
34,0,34,0,20.38132370799576,20.539978458000405,20.539978458000405,20.698702542002138,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
35,0,35,0,20.698702542002138,20.856582791995606,20.856582791995606,21.014788916996622,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
36,0,36,0,21.014788916996622,21.173521666998568,21.173521666998568,21.331679292001354,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
37,0,37,0,21.331679292001354,21.490092082996853,21.490092082996853,21.648563124996144,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
38,0,38,0,21.648563124996144,21.806692624995776,21.806692624995776,21.965296957998362,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
39,0,39,0,21.965296957998362,22.122962249995908,22.122962249995908,22.281840208001086,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
40,0,40,0,22.281840208001086,22.44004670799768,22.44004670799768,22.59784029200091,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
41,0,41,0,22.59784029200091,22.756868500000564,22.756868500000564,22.915470416999597,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
42,0,42,0,22.915470416999597,23.07336899999791,23.07336899999791,23.231587166999816,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
43,0,43,0,23.231587166999816,23.39006604199676,23.39006604199676,23.54771858300228,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
44,0,44,0,23.54771858300228,23.70651129199541,23.70651129199541,23.865484207999543,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
45,0,45,0,23.865484207999543,24.02369799999724,24.02369799999724,24.183310874999734,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
46,0,46,0,24.183310874999734,24.339772708000964,24.339772708000964,24.498162083000352,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
47,0,47,0,24.498162083000352,24.656699582999863,24.656699582999863,24.815724041996873,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
48,0,48,0,24.815724041996873,24.973477999999886,24.973477999999886,25.140522417001193,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
49,0,49,0,25.140522417001193,25.298687875001633,25.298687875001633,25.45448866699735,692325,001,2023-03-19_07h54.30.065,veo,2022.2.4,None,
